gen,ind,condenser_p_Pa,drum_p_Pa,pr_scale,efficiency_pct,total_MW
1,17,3000.0,6186380,0.9709,54.1540,503.0
1,18,3318.4,5988377,1.0549,54.5595,506.8
1,19,4160.6,12474944,1.0226,54.4376,505.6
2,0,3550.5,11491496,1.1584,53.7920,499.6
2,1,3000.0,4955172,0.9946,54.9671,510.5
2,2,3219.7,5720794,1.1907,53.7610,499.3
2,3,3000.0,7653721,0.9703,54.1260,502.7
2,4,3665.7,11569209,1.2350,53.3276,495.3
2,5,5593.5,11569209,1.2323,52.6742,489.2
2,6,5763.4,5975936,0.9862,53.7452,499.2
2,7,3000.0,7622433,0.9709,54.1540,503.0
2,8,3805.7,5996979,0.9862,54.4107,505.4
2,9,4061.6,6394322,0.8228,0.0000,0.0
2,10,8152.0,5968921,1.0588,53.1012,493.2
2,11,8136.8,5972943,1.2290,52.0752,483.7
2,12,3318.4,5988377,1.0549,54.5595,506.8
